country,month,y_true,y_pred,y_prob
NLD,2019-07-31,0,0,0.3508990350923426
ITA,2019-07-31,0,0,0.23259778224420638
CHN,2019-08-31,0,0,0.41775246028596785
NOR,2019-08-31,0,0,0.5263316331364767
SGP,2019-08-31,0,0,0.1917515213060582
TUR,2019-08-31,0,0,0.5024310187969606
SAU,2019-08-31,0,0,0.3214002660776038
CHE,2019-08-31,0,0,0.24281809889191244
THA,2019-08-31,0,0,0.2598485983192838
IND,2019-08-31,0,0,0.5198444647513873
JPN,2019-08-31,0,0,0.2591148422162129
BEL,2019-08-31,0,0,0.1976243354051285
BRA,2019-08-31,0,0,0.5934852824305182
RUS,2019-08-31,0,1,0.6994390211874427
ITA,2019-08-31,0,0,0.2235983790923778
